,model,run,lin_grad,r,p,mean_omm,resid_grad,ks_stat,ks_pval
55,CanESM5,r4i1p2f1_gn,0.9198037052016461,0.9749677190351926,8.758291878149406e-24,5.904731935972256,-0.23854244394038482,0.4166666666666667,0.0034922983087209143
56,CanESM5,r5i1p1f1_gn,0.9806784756654249,0.9719107221543082,6.066659520414827e-23,5.966749744951013,-0.2994172144041636,0.3888888888888889,0.008095782390485192
57,CanESM5,r5i1p2f1_gn,0.8495294791285818,0.980094392435767,1.8513510084551938e-25,3.9394871753065765,-0.16826821786732069,0.3055555555555556,0.06898879546934714
58,CanESM5,r6i1p1f1_gn,0.946331423685971,0.9756606830630038,5.463288529120184e-24,6.233446719793097,-0.2650701624247098,0.4166666666666667,0.0034922983087209143
59,CanESM5,r6i1p2f1_gn,0.9476237207305939,0.9728783222370079,3.367876707382128e-23,5.53499267006677,-0.2663624594693325,0.3888888888888889,0.008095782390485192
60,CanESM5,r7i1p1f1_gn,0.9421632400887661,0.975421122887003,6.441268508829628e-24,5.537926793145752,-0.26090197882750477,0.3888888888888889,0.008095782390485192
61,CanESM5,r7i1p2f1_gn,0.954808696893498,0.9683568195542793,4.474059038068749e-22,5.663132089754889,-0.2735474356322368,0.3888888888888889,0.008095782390485192
62,CanESM5,r8i1p1f1_gn,0.9322747703608093,0.9787943442969488,5.373776609253761e-25,5.586054427803506,-0.25101350909954795,0.3888888888888889,0.008095782390485192
63,CanESM5,r8i1p2f1_gn,0.9596502025615294,0.9695210956996493,2.3867283821135706e-22,6.329340853672176,-0.27838894130026826,0.4166666666666667,0.0034922983087209143
64,CanESM5,r9i1p1f1_gn,0.9041000412314403,0.9794718913521239,3.110118080874712e-25,5.17417731554735,-0.2228387799701789,0.3888888888888889,0.008095782390485192
65,CanESM5,r9i1p2f1_gn,0.556871709161878,0.9285622443270268,3.380909914124022e-16,0.07435526010240122,0.12438955209938334,0.1388888888888889,0.8848803300554184
66,E3SM-1-1,r1i1p1f1_gr,0.31068969879064473,0.8228338431988289,7.366882063833404e-10,-4.274173479893854,0.37057156247061646,0.5,0.00018725837572722094
67,E3SM-1-1-ECA,r1i1p1f1_gr,0.7866179445113609,0.9767006585707863,2.6212172843338874e-24,2.530504328556474,-0.10535668325009956,0.2222222222222222,0.34006567002537286
68,EC-Earth3-CC,r1i1p1f1_gn,0.8599480198693861,0.9793682712327015,3.3853789125335563e-25,4.116759647972998,-0.17868675860812458,0.3888888888888889,0.008095782390485192
69,EC-Earth3-Veg,r1i1p1f1_gn,0.9409837876967942,0.9798468596908744,2.279885756091395e-25,4.485926494049645,-0.25972252643553295,0.3611111111111111,0.01759952462994868
70,FGOALS-f3-L,r1i1p1f1_gn,-0.723765539121904,-0.8549714849139407,3.185362727577786e-11,-22.08035972130204,1.405026800383165,0.8888888888888888,4.649766532520804e-15
71,FGOALS-g3,r1i1p1f1_gn,1.0262872069115192,0.964365688957581,3.26892064548233e-21,5.134642875904126,-0.3450259456502578,0.3333333333333333,0.03593229829749474
72,FIO-ESM-2-0,r1i1p1f1_gn,0.9077441237454557,0.9665819128117868,1.1161331263291755e-21,5.181132033514595,-0.2264828624841943,0.3888888888888889,0.008095782390485192
73,GFDL-CM4,r1i1p1f1_gn,0.6238215652441887,0.9727304047104051,3.6899561121214353e-23,0.2947139045075742,0.057439696017072606,0.1388888888888889,0.8848803300554184
74,GFDL-ESM4,r1i1p1f1_gn,0.5882182838908244,0.9565600601223165,8.926524300950446e-20,-0.36019575648039576,0.09304297737043682,0.1111111111111111,0.9821553096666891
75,GISS-E2-1-G,r10i1p1f1_gn,0.6750199181999785,0.9605762416562135,1.7696227397314158e-20,0.7975760582893591,0.006241343061282666,0.2222222222222222,0.34006567002537286
76,GISS-E2-1-G,r1i1p1f1_gn,0.693424204833796,0.956250838034711,1.0046535839476365e-19,0.8156397438356778,-0.012162943572534727,0.19444444444444445,0.5100108838989977
77,GISS-E2-1-G,r2i1p1f1_gn,0.6475941897435845,0.9704259318670272,1.439832368745048e-22,0.9413899812906484,0.03366707151767677,0.16666666666666666,0.706866891160545
78,GISS-E2-1-G,r3i1p1f1_gn,0.6498509023051041,0.9508483684702055,6.975421102330514e-19,0.9059447900496497,0.03141035895615739,0.2777777777777778,0.12469435207968083
79,GISS-E2-1-G,r4i1p1f1_gn,0.7518442349007385,0.9650602994336153,2.3517122646250734e-21,1.1797358029891551,-0.0705829736394772,0.19444444444444445,0.5100108838989977
80,GISS-E2-1-G,r5i1p1f1_gn,0.6797677855233889,0.9641768043207729,3.571130857053772e-21,0.7019223091148172,0.0014934757378724135,0.16666666666666666,0.706866891160545
81,GISS-E2-1-G,r6i1p1f1_gn,0.6431373977216208,0.9645740708258019,2.9634545428662338e-21,0.383645474958039,0.03812386353964049,0.1388888888888889,0.8848803300554184
82,GISS-E2-1-G,r7i1p1f1_gn,0.7350657375853035,0.9656969502688141,1.7287679703729198e-21,1.9244666530499355,-0.053804476324042165,0.2777777777777778,0.12469435207968083
83,GISS-E2-1-G,r8i1p1f1_gn,0.5965763195754632,0.9606867809325176,1.688573007266463e-20,0.11680113115007683,0.08468494168579808,0.1388888888888889,0.8848803300554184
84,GISS-E2-1-G,r9i1p1f1_gn,0.6684782111966932,0.9662375550687045,1.3251280067804875e-21,0.7771636662029062,0.01278305006456803,0.1388888888888889,0.8848803300554184
85,GISS-E2-1-G-CC,r1i1p1f1_gn,0.6187090675189536,0.9523455635777276,4.170654990081479e-19,2.2517483185208005,0.06255219374230776,0.3333333333333333,0.03593229829749474
86,HadGEM3-GC31-LL,r1i1p1f3_gn,0.673060348474611,0.9534522415250779,2.821217480795347e-19,2.3976571117483405,0.008200912786650083,0.3055555555555556,0.06898879546934714
87,HadGEM3-GC31-LL,r2i1p1f3_gn,0.5718111502234386,0.9508083396974364,7.070438365096385e-19,1.0765501228116785,0.10945011103782257,0.19444444444444445,0.5100108838989977
88,HadGEM3-GC31-LL,r3i1p1f3_gn,0.6053801413764517,0.9609386066069355,1.516757355182375e-20,1.0799744001338383,0.07588111988480946,0.19444444444444445,0.5100108838989977
89,HadGEM3-GC31-LL,r4i1p1f3_gn,0.6759082007131983,0.9589199383466576,3.517124222169017e-20,2.3326716969883603,0.005353060548063096,0.2777777777777778,0.12469435207968083
90,HadGEM3-GC31-LL,r5i1p1f3_gn,0.9495300285527759,0.9764375870215118,3.1660998486687604e-24,5.842279404449082,-0.2682687672915146,0.4444444444444444,0.0014103512403408932
91,HadGEM3-GC31-MM,r1i1p1f3_gn,0.806847819168135,0.9741139375801346,1.5388634795740304e-23,2.9692777975211038,-0.12558655790687373,0.3333333333333333,0.03593229829749474
92,HadGEM3-GC31-MM,r2i1p1f3_gn,0.9802154773105525,0.9672158476634108,8.098934660438967e-22,6.176196678692383,-0.2989542160492914,0.4444444444444444,0.0014103512403408932
93,HadGEM3-GC31-MM,r3i1p1f3_gn,0.8491101508320069,0.9728559161015653,3.414904689400631e-23,5.364734460129622,-0.16784888957074562,0.4444444444444444,0.0014103512403408932
94,HadGEM3-GC31-MM,r4i1p1f3_gn,-0.5054929692686525,-0.7931297063536864,8.036592236504725e-09,-18.570578686638722,1.1867542305299137,0.8888888888888888,4.649766532520804e-15
95,INM-CM4-8,r1i1p1f1_gr1,-0.37298186729390037,-0.7056193372107361,1.5361697082168216e-06,-16.383452093388357,1.0542431285551617,0.8611111111111112,6.323682484228294e-14
96,INM-CM5-0,r1i1p1f1_gr1,0.9748230459580877,0.9731063073034236,2.922735718941685e-23,5.395644942397574,-0.29356178469682637,0.3888888888888889,0.008095782390485192
97,IPSL-CM5A2-INCA,r1i1p1f1_gn,0.6193747384897991,0.9542059148867446,2.1500199013230353e-19,-1.2952855096449951,0.061886522771462185,0.25,0.2122866675915156
98,IPSL-CM6A-LR,r1i1p1f1_gn,0.521723562287241,0.955477852256461,1.345045058822719e-19,-0.9533978716721633,0.1595376989740202,0.2222222222222222,0.34006567002537286
99,IPSL-CM6A-LR,r2i1p1f1_gn,0.5644319450763202,0.9701179269960882,1.7130959016522847e-22,-1.28171070743175,0.11682931618494108,0.19444444444444445,0.5100108838989977
100,IPSL-CM6A-LR,r3i1p1f1_gn,0.55095422838262,0.9541324696649842,2.2081465874362744e-19,-0.4806232774778041,0.13030703287864132,0.1388888888888889,0.8848803300554184
101,IPSL-CM6A-LR,r4i1p1f1_gn,0.5616268096244781,0.9752455306616545,7.260151185304539e-24,-0.12385839633052544,0.11963445163678325,0.1388888888888889,0.8848803300554184
