,model_key,startyr,endyr,Tmin,Tmax,Npts,TSLS,sigmaTSLS,BalanceT,Intercept
73,MPI-ESM1-2-LR:p1f1:historical,1850,2014,-0.8862953480851274,-0.04471769308401008,4,0.0014474772913363669,0.000443718899787062,-0.9584581562253646,0.001387346415832339
74,MRI-ESM2-0:p1:2016:2050,2016,2050,0.478109864078931,1.1065856576892656,3,0.0005963744499933939,0.0008954441303120983,-2.397873766591595,0.00143003064870465
75,MRI-ESM2-0:p1f1:historical,1850,2014,-0.7077356322052992,-0.057598877004181766,4,0.001798899212937098,0.0004452457629427249,-0.6333549666214164,0.001139341750965068
76,NESM3:p1:2016:2050,2016,2050,0.9210476527038622,1.2097694071913452,3,0.0008809676873876597,9.426535756559112e-05,-1.0631605173676504,0.0009366100623072466
77,NESM3:p1:2051:2100,2051,2100,1.222691958882706,3.399749941502762,3,0.0011760640303197926,2.7455695136242974e-05,-0.07525396330626999,8.850347938350967e-05
78,NESM3:p1f1:historical,1850,2014,-0.8242466267370219,-0.08570777634099612,4,0.0012451145393270733,0.0005066186302152853,-0.6981534114829931,0.0008692809633182717
79,NorESM2-LM:p1:2016:2050,2016,2050,0.4670428801305775,0.6758292491337556,5,0.0008157076066851354,0.00026224408369461674,-1.619846131430522,0.0013213208110673664
80,NorESM2-LM:p1:2051:2100,2051,2100,0.6985250927569949,2.3402745335117743,5,0.0015826326117371974,0.00011384219887254876,-0.15801322460663839,0.0002500768823482205
81,NorESM2-LM:p1f1:historical,1850,2014,-0.5841489508799782,-0.07437924569137523,4,0.002157963430149716,0.0006067938916717291,-0.5255691351744756,0.001134158973721931
82,NorESM2-MM:p1:2016:2050,2016,2050,0.6513889376872157,0.8045185568688566,3,0.0018555580050426564,0.0019278243422343527,-0.7927370344702237,0.0014709695502049998
83,NorESM2-MM:p1:2051:2100,2051,2100,0.8863051469568292,2.519874870292085,3,0.001977212787664846,5.007327816626997e-05,-0.2697368010678701,0.0005333270523752015
84,NorESM2-MM:p1f1:historical,1850,2014,-0.4716461031428594,-0.028543750145104237,4,0.002600545280940716,0.0001287704378646601,-0.4327493681664035,0.0011253843272152173
85,SAM0-UNICON:p1f1:historical,1850,2014,-0.6469212985734885,-0.06348390377240776,4,0.002553790734307534,0.00035151287670215093,-0.5895004373714633,0.0015054607548294816
86,UKESM1-0-LL:p1:2016:2050,2016,2050,1.079769095519282,1.5600297933275442,23,0.0018932407509470658,0.00029229746649408296,-0.03393824346220004,6.425326553819996e-05
87,UKESM1-0-LL:p1:2051:2100,2051,2100,1.823603287407764,4.742809059591991,23,0.0014113539682300614,3.843476838801656e-05,0.6588254887171229,-0.0009298359678720209
88,UKESM1-0-LL:p1f2:historical,1850,2014,-0.8882965996346002,-0.05982879862892788,56,0.0020022333859722992,0.0001173260114224056,-0.663419817914095,0.0013283213083432647
89,UKESM1-0-LL:p1f3:historical,1850,2014,-0.7353572447895544,-0.08182919062534211,12,0.002309916875190853,0.0002289991615608905,-0.6011776724292665,0.0013886704505323214
