,model,scenario,startyr,endyr,Tavg,Tavg_ice,p,ice_sample,risk_averse,Steric,WAIS,EAIS,PEN,GIC,GrIS,AIS,GMSL
64,FGOALS-f3-L,SSP585,2016,2050,0.8322146242074382,0.6689134113767461,1,11,False,0.0023962285199998837,0.00015768039215686278,5.145735294117647e-05,2.423480392156863e-05,0.001347473529411765,0.0003800813725490197,0.00023337254901960788,0.004357155970980277
65,FGOALS-g3,SSP585,2051,2100,2.192942474264328,2.0262785542338886,1,11,False,0.0033627358755532457,0.0013430418367346931,0.0007799059523809522,0.000274020238095238,0.002117833163265305,0.001649527891156462,0.002396968027210883,0.009527064957185897
66,EC-Earth3-Veg,SSP126,2016,2050,0.6677028643705967,0.5273591256624602,1,12,False,0.0017695739750707745,6.708063725490198e-05,-3.9457107843137264e-05,-3.878431372549018e-06,0.0009723612745098039,0.00028920661764705895,2.3745098039215696e-05,0.003054886965266853
67,MPI-ESM1-2-LR,SSP126,2051,2100,0.6526174510554862,0.7160145542338887,1,12,False,0.0008337836479351123,0.0001000539115646257,3.671734693877546e-05,-7.980391156462586e-05,0.0007801161564625841,0.0003962707482993195,5.69673469387753e-05,0.002067137899635791
68,NorESM2-MM,SSP245,2016,2050,0.6712761306682182,0.5923534113767459,1,12,False,0.002195665506125935,0.00017979338235294122,-6.63546568627451e-05,-7.230147058823528e-06,0.0011742259803921573,0.0004938754901960786,0.0001062085784313726,0.003969975555145543
69,MPI-ESM1-2-LR,SSP245,2051,2100,1.3124393801347765,1.2553565542338891,1,12,False,0.002060533466689516,0.0005138989795918365,-0.00012666819727891144,-4.07768707482993e-05,0.0011128078231292507,0.0006440479591836733,0.0003464539115646258,0.004163843160567066
70,MPI-ESM1-2-LR,SSP585,2016,2050,0.6053191235833424,0.7181191256624605,1,12,False,0.0016446760294081223,4.5581127450980396e-05,-6.248039215686264e-06,-1.4765441176470585e-05,0.0015196477941176473,0.0004900362745098039,2.4567647058823545e-05,0.003678927745094397
71,INM-CM5-0,SSP585,2051,2100,2.2778668693829904,2.2730425542338892,1,12,False,0.002785459347867877,0.001132276870748299,-0.0005205828231292514,-6.2761904761904426e-06,0.0021214916666666647,0.0008956731292516998,0.0006054178571428571,0.006408042000929097
72,INM-CM5-0,SSP126,2016,2050,0.6063109994018419,0.6164419828053175,1,13,False,0.0013064071815094423,0.00011119779411764707,0.00016897107843137258,1.5165441176470581e-05,0.001012671568627451,0.0005059803921568629,0.0002953343137254902,0.003120393456019246
73,INM-CM4-8,SSP126,2051,2100,0.671358882154891,0.815576554233889,1,13,False,0.0005068957774990845,0.0003746658163265304,0.00096315850340136,-7.134030612244897e-05,0.0009364146258503387,0.0005360625850340131,0.0012664840136054414,0.003245857001988878
74,NESM3,SSP245,2016,2050,0.9283936687367031,0.7002391256624604,1,13,False,0.0024774059046839283,1.2490931372549025e-05,0.00022996323529411768,-2.809068627450981e-05,0.001300319117647059,0.0004928325980392158,0.0002143634803921569,0.00448492110076236
75,MIROC6,SSP245,2051,2100,1.3559386365224482,1.5253465542338889,1,13,False,0.002168108663806065,0.00019434353741496591,0.0011289430272108836,-3.945765306122444e-05,0.0015518144557823124,0.0007439506802721079,0.001283828911564625,0.00574770271142511
76,MIROC6,SSP585,2016,2050,0.6738777105920235,0.8646476970910317,1,13,False,0.0016971680900196482,4.4276470588235325e-05,0.00017419387254901967,-8.519607843137224e-07,0.0016898857843137256,0.000757277205882353,0.0002176183823529413,0.004361949462568668
77,MRI-ESM2-0,SSP585,2051,2100,2.9054030154318866,2.8393425542338884,1,13,False,0.005397804787488796,0.0006156263605442176,0.0015641789115646253,1.830663265306125e-05,0.00248647244897959,0.0019273335034013601,0.002198111904761904,0.01200972264463165
78,GFDL-ESM4,SSP126,2016,2050,0.6077209889131154,0.8683934113767461,1,14,False,0.00045225404234411066,0.0002534693627450981,3.828406862745098e-05,3.2867647058823536e-06,0.0016124676470588234,0.0005478906862745099,0.0002950401960784314,0.002907652571755875
79,CanESM5,SSP126,2051,2100,1.6076452542621782,1.6525385542338886,2,14,False,0.0011027855525623342,0.0007927397959183668,-1.3902721088435465e-05,0.00019290204081632648,0.0010948676870748287,0.00019881428571428552,0.0009717391156462578,0.003368206640997706
