,model,run,scenario,startyr,endyr,Tavg,dSdt
194,CESM2,r8i1p1f1_gr,historical,1950,2000,-0.5853089760890953,0.0002354360930621624
195,CESM2,r8i1p1f1_gr,historical,1992,2014,-0.063593351294287,0.0014971992508931594
196,CIESM,r1i1p1f1_gn,historical,1850,1900,-1.209504024469254,-0.0005482425913214684
197,CIESM,r1i1p1f1_gn,historical,1900,1950,-0.9317298020798148,-0.00028838710859417914
198,CIESM,r1i1p1f1_gn,historical,1950,2000,-0.5067673330003686,0.00019053544849157334
199,CIESM,r1i1p1f1_gn,historical,1992,2014,-0.06408262355142824,0.0012714866210113871
200,CMCC-CM2-SR5,r1i1p1f1_gn,historical,1850,1900,-1.1084295897591687,-3.261394798755646e-05
201,CMCC-CM2-SR5,r1i1p1f1_gn,historical,1900,1950,-0.9934243699227068,0.0002509796991944313
202,CMCC-CM2-SR5,r1i1p1f1_gn,historical,1950,2000,-0.6241865746335975,0.0002998078614473343
203,CMCC-CM2-SR5,r1i1p1f1_gn,historical,1992,2014,-0.08586229979613336,0.0013906356285918844
204,CMCC-ESM2,r1i1p1f1_gn,historical,1850,1900,-1.05186819465996,-5.155954509973526e-05
205,CMCC-ESM2,r1i1p1f1_gn,historical,1900,1950,-0.9032345472710972,0.00021818134933710098
206,CMCC-ESM2,r1i1p1f1_gn,historical,1950,2000,-0.5709938273985244,0.000373210571706295
207,CMCC-ESM2,r1i1p1f1_gn,historical,1992,2014,-0.07562197734199572,0.0013169990005818281
208,E3SM-1-1,r1i1p1f1_gr,historical,1850,1900,-0.4792215045561079,0.00032582994550466537
209,E3SM-1-1,r1i1p1f1_gr,historical,1900,1950,-0.5214428527045811,0.00026493759825825693
210,E3SM-1-1,r1i1p1f1_gr,historical,1950,2000,-0.5469366942774627,0.00017297795042395592
211,E3SM-1-1,r1i1p1f1_gr,historical,1992,2014,-0.06214463298482542,0.0012855932793833993
212,E3SM-1-1-ECA,r1i1p1f1_gr,historical,1850,1900,-0.6075594368397788,0.0002989892289042473
213,E3SM-1-1-ECA,r1i1p1f1_gr,historical,1900,1950,-0.6494602519229602,0.00028831103816628456
214,E3SM-1-1-ECA,r1i1p1f1_gr,historical,1950,2000,-0.5786557798633112,0.00019919967278838157
215,E3SM-1-1-ECA,r1i1p1f1_gr,historical,1992,2014,-0.07436249954537288,0.0013287939469922674
216,EC-Earth3-CC,r1i1p1f1_gn,historical,1850,1900,-1.4027734797650169,-0.00011046737432479859
217,EC-Earth3-CC,r1i1p1f1_gn,historical,1900,1950,-1.2897697741811953,0.00024022523313760758
218,EC-Earth3-CC,r1i1p1f1_gn,historical,1950,2000,-0.6551007325431897,0.00020482487976551057
219,EC-Earth3-CC,r1i1p1f1_gn,historical,1992,2014,-0.08047753976194372,0.0011543468995527787
220,EC-Earth3-Veg,r1i1p1f1_gn,historical,1850,1900,-1.3220684628331583,5.144268274307251e-05
221,EC-Earth3-Veg,r1i1p1f1_gn,historical,1900,1950,-0.9575471467827583,0.0001666353642940521
222,EC-Earth3-Veg,r1i1p1f1_gn,historical,1950,2000,-0.6350626173507976,0.00027120895683765414
223,EC-Earth3-Veg,r1i1p1f1_gn,historical,1992,2014,-0.07167544548985916,0.001322049308906902
224,FGOALS-f3-L,r1i1p1f1_gn,historical,1850,1900,-1.0877670296077895,-0.00017397141084074974
