Component,Source,CMIPModel,Run,Scenario,startyr,endyr,Tavg,dSdt
steric,CMIP6_RB,CanESM5,r16i1p1f1_gn,historical,1900,1950,-1.051793706057424,0.21860960418102787
steric,CMIP6_RB,CanESM5,r17i1p1f1_gn,historical,1900,1950,-1.129374798735114,0.16874421811571308
steric,CMIP6_RB,CanESM5,r18i1p1f1_gn,historical,1900,1950,-1.2089954053130896,0.188690372541839
steric,CMIP6_RB,CanESM5,r19i1p1f1_gn,historical,1900,1950,-1.1035113688931233,0.14760137071796492
steric,CMIP6_RB,CanESM5,r1i1p1f1_gn,historical,1900,1950,-1.0794076797890853,0.10770909926470588
steric,CMIP6_RB,CanESM5,r1i1p2f1_gn,historical,1900,1950,-1.0963456115773056,0.14042076410031787
steric,CMIP6_RB,CanESM5,r20i1p1f1_gn,historical,1900,1950,-1.1143645019373594,0.1862968744016161
steric,CMIP6_RB,CanESM5,r21i1p1f1_gn,historical,1900,1950,-1.0818879943570323,0.2385556838091682
steric,CMIP6_RB,CanESM5,r22i1p1f1_gn,historical,1900,1950,-1.2051596453334241,0.1499948688581878
steric,CMIP6_RB,CanESM5,r23i1p1f1_gn,historical,1900,1950,-1.135732044118754,0.2106310900519876
steric,CMIP6_RB,CanESM5,r24i1p1f1_gn,historical,1900,1950,-1.211360517726746,0.1392239589317172
steric,CMIP6_RB,CanESM5,r25i1p1f1_gn,historical,1900,1950,-1.0830521263163746,0.22339667525945925
steric,CMIP6_RB,CanESM5,r2i1p1f1_gn,historical,1900,1950,-1.0545079036488687,0.24533743016860066
steric,CMIP6_RB,CanESM5,r2i1p2f1_gn,historical,1900,1950,-1.0640641119095449,0.2138224957036037
steric,CMIP6_RB,CanESM5,r3i1p1f1_gn,historical,1900,1950,-1.0931343228136257,0.08457157658595665
steric,CMIP6_RB,CanESM5,r3i1p2f1_gn,historical,1900,1950,-1.0402274805015281,0.15039380391438803
steric,CMIP6_RB,CanESM5,r4i1p1f1_gn,historical,1900,1950,-1.1439847652783897,0.21262572793399587
steric,CMIP6_RB,CanESM5,r4i1p2f1_gn,historical,1900,1950,-1.161210821857992,0.1862968370026233
steric,CMIP6_RB,CanESM5,r5i1p1f1_gn,historical,1900,1950,-1.1393737989927217,0.19188177819345512
steric,CMIP6_RB,CanESM5,r5i1p2f1_gn,historical,1900,1950,-1.1482506599935505,0.17951520284016928
steric,CMIP6_RB,CanESM5,r6i1p1f1_gn,historical,1900,1950,-1.084343568229258,0.17432919670553768
steric,CMIP6_RB,CanESM5,r6i1p2f1_gn,historical,1900,1950,-1.1275613563799993,0.2501244264490464
steric,CMIP6_RB,CanESM5,r7i1p1f1_gn,historical,1900,1950,-1.141992434968131,0.17672269484576056
steric,CMIP6_RB,CanESM5,r7i1p2f1_gn,historical,1900,1950,-1.0970815584807383,0.1890893075980392
steric,CMIP6_RB,CanESM5,r8i1p1f1_gn,historical,1900,1950,-1.2660578690696411,0.22579017339968213
steric,CMIP6_RB,CanESM5,r8i1p2f1_gn,historical,1900,1950,-1.0903765240059329,0.13643156313428692
steric,CMIP6_RB,CanESM5,r9i1p1f1_gn,historical,1900,1950,-1.0735913659585776,0.16036688112745098
steric,CMIP6_RB,CanESM5,r9i1p2f1_gn,historical,1900,1950,-1.2409529510266566,0.09414571874281939
steric,CMIP6_RB,CESM2,r11i1p1f1_gr,historical,1900,1950,-0.6549944883457215,0.14121859681372548
steric,CMIP6_RB,CESM2,r2i1p1f1_gr,historical,1900,1950,-0.8488823090773394,0.14042076410031787
steric,CMIP6_RB,CESM2,r4i1p1f1_gr,historical,1900,1950,-0.7560351737333235,0.19188175949395872
steric,CMIP6_RB,CESM2,r6i1p1f1_gr,historical,1900,1950,-0.815003780062284,0.18669577205882354
steric,CMIP6_RB,CESM2,r8i1p1f1_gr,historical,1900,1950,-0.7184977053764214,0.8560879277248009
steric,CMIP6_RB,CIESM,r1i1p1f1_gn,historical,1900,1950,-0.9317298020798717,0.7005080428777957
steric,CMIP6_RB,CMCC-CM2-SR5,r1i1p1f1_gn,historical,1900,1950,-0.9934243699226499,0.6462545955882353
steric,CMIP6_RB,CMCC-ESM2,r1i1p1f1_gn,historical,1900,1950,-0.9032345472710972,
steric,CMIP6_RB,CNRM-CM6-1,r10i1p1f2_gn,historical,1900,1950,-0.7091602740521239,
steric,CMIP6_RB,CNRM-CM6-1,r1i1p1f2_gn,historical,1900,1950,-0.946665031888358,
steric,CMIP6_RB,CNRM-CM6-1,r2i1p1f2_gn,historical,1900,1950,-0.5680124574798242,
