,model,run,scenario,startyr,endyr,Tavg,dSdt,r,i,p,f,model_key,probability_weight,counts
84,CanESM5,r20i1p1f1_gn,historical,1900,1950,-1.1143645019372457,0.000190022811293602,20,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
85,CanESM5,r21i1p1f1_gn,historical,1900,1950,-1.0818879943570892,0.00024332679808139799,21,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
86,CanESM5,r22i1p1f1_gn,historical,1900,1950,-1.205159645333424,0.000152994766831398,22,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
87,CanESM5,r23i1p1f1_gn,historical,1900,1950,-1.135732044118697,0.000214843712747097,23,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
88,CanESM5,r24i1p1f1_gn,historical,1900,1950,-1.2113605177268028,0.000142008438706398,24,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
89,CanESM5,r25i1p1f1_gn,historical,1900,1950,-1.0830521263163178,0.000227864608168602,25,1,1,1,CanESM5:p1:1900:1950:historical,0.0,35
90,CanESM5,r2i1p1f1_gn,historical,1900,1950,-1.0545079036488687,0.000250244177877903,2,1,1,1,CanESM5:p1:1900:1950:historical,0.41083483218395134,35
91,CanESM5,r2i1p2f1_gn,historical,1900,1950,-1.0640641119094878,0.000218098945915699,2,1,2,1,CanESM5:p1:1900:1950:historical,0.4493872221331056,35
92,CanESM5,r3i1p1f1_gn,historical,1900,1950,-1.0931343228135688,8.6263008415699e-05,3,1,1,1,CanESM5:p1:1900:1950:historical,0.41743333554415457,35
93,CanESM5,r3i1p2f1_gn,historical,1900,1950,-1.0402274805014144,0.000153401680290699,3,1,2,1,CanESM5:p1:1900:1950:historical,0.416764134967413,35
94,CanESM5,r4i1p1f1_gn,historical,1900,1950,-1.1439847652785031,0.000216878242790699,4,1,1,1,CanESM5:p1:1900:1950:historical,0.6228991975719911,35
95,CanESM5,r4i1p2f1_gn,historical,1900,1950,-1.161210821857992,0.000190022774040699,4,1,2,1,CanESM5:p1:1900:1950:historical,0.4713047891454392,35
