,model,run,scenario,startyr,endyr,Tavg,dSdt
164,CanESM5,r8i1p2f1_gn,historical,1850,1900,-1.1982042683136456,5.411781370639801e-05
165,CanESM5,r8i1p2f1_gn,historical,1900,1950,-1.0903765240060466,0.00013916019350290298
166,CanESM5,r8i1p2f1_gn,historical,1950,2000,-0.7685404204605106,0.00052734375
167,CanESM5,r8i1p2f1_gn,historical,1992,2014,-0.06826757119063132,0.0017579975114627318
168,CanESM5,r9i1p1f1_gn,historical,1850,1900,-1.223970403921271,5.0381720066070556e-05
169,CanESM5,r9i1p1f1_gn,historical,1900,1950,-1.0735913659586345,0.00016357421875
170,CanESM5,r9i1p1f1_gn,historical,1950,2000,-0.7570699563234484,0.000520833320915699
171,CanESM5,r9i1p1f1_gn,historical,1992,2014,-0.08752991438893787,0.0016969623552127318
172,CanESM5,r9i1p2f1_gn,historical,1850,1900,-1.3638139169528358,0.00017363578081130981
173,CanESM5,r9i1p2f1_gn,historical,1900,1950,-1.2409529510266566,9.602863341569901e-05
174,CanESM5,r9i1p2f1_gn,historical,1950,2000,-0.9252172800563585,0.000291748046875
175,CanESM5,r9i1p2f1_gn,historical,1992,2014,-0.10127828430677255,0.0012567693536931818
176,CESM2,r11i1p1f1_gr,historical,1850,1900,-0.7112384436493926,5.741005763411522e-05
177,CESM2,r11i1p1f1_gr,historical,1900,1950,-0.6549944883457215,0.00014404296875
178,CESM2,r11i1p1f1_gr,historical,1950,2000,-0.5152400949423281,0.00015869140625
179,CESM2,r11i1p1f1_gr,historical,1992,2014,-0.06291595688696816,0.0013316761363636363
180,CESM2,r2i1p1f1_gr,historical,1850,1900,-0.9707167463753308,0.000131429024040699
181,CESM2,r2i1p1f1_gr,historical,1900,1950,-0.8488823090773963,0.000143229179084301
182,CESM2,r2i1p1f1_gr,historical,1950,2000,-0.6408158672169861,0.000208740234375
183,CESM2,r2i1p1f1_gr,historical,1992,2014,-0.08085667816493469,0.0012983842329545455
184,CESM2,r4i1p1f1_gr,historical,1850,1900,-0.8951737446750485,0.00016324132680892945
185,CESM2,r4i1p1f1_gr,historical,1900,1950,-0.756035173733494,0.0001957193948328495
186,CESM2,r4i1p1f1_gr,historical,1950,2000,-0.5243329747474377,0.0002901204489171505
