,model,p,scenario,startyr,endyr,Tavg,dSdt,model_key,probability_weight
94,CanESM5,2,historical,1992,2014,-0.08985436418391828,0.0016141024333509533,CanESM5:p2:1992:2014:historical,7.2839194553125095
95,E3SM-1-1,1,SSP585,2016,2050,1.59698515446604,0.0023558374275179468,E3SM-1-1:p1:2016:2050:SSP585,7.722884432107863
96,E3SM-1-1,1,SSP585,2051,2100,5.158361247759898,0.004479648507371241,E3SM-1-1:p1:2051:2100:SSP585,0.9517652485092304
97,E3SM-1-1,1,historical,1850,1900,-0.4792215045561079,6.255178246647119e-05,E3SM-1-1:p1:1850:1900:historical,0.9517652485092304
98,E3SM-1-1,1,historical,1900,1950,-0.5214428527045811,5.167643539607525e-05,E3SM-1-1:p1:1900:1950:historical,0.9517652485092304
99,E3SM-1-1,1,historical,1950,2000,-0.5469366942774627,-3.7434895057231186e-05,E3SM-1-1:p1:1950:2000:historical,0.9517652485092304
100,E3SM-1-1,1,historical,1992,2014,-0.06214463298482543,0.0010921594432809136,E3SM-1-1:p1:1992:2014:historical,0.9517652485092304
101,E3SM-1-1-ECA,1,historical,1850,1900,-0.6075594368397788,8.981421589851379e-05,E3SM-1-1-ECA:p1:1850:1900:historical,0.0
102,E3SM-1-1-ECA,1,historical,1900,1950,-0.6494602519229602,0.00044067379087209697,E3SM-1-1-ECA:p1:1900:1950:historical,0.0
103,E3SM-1-1-ECA,1,historical,1950,2000,-0.5786557798633112,0.0004052734375,E3SM-1-1-ECA:p1:1950:2000:historical,0.0
104,E3SM-1-1-ECA,1,historical,1992,2014,-0.07436249954537287,0.0013547954572872682,E3SM-1-1-ECA:p1:1992:2014:historical,0.0
105,EC-Earth3,1,SSP126,2016,2050,0.9287476480435544,0.001831653144429712,EC-Earth3:p1:2016:2050:SSP126,276.22587573393037
106,EC-Earth3,1,SSP126,2051,2100,1.2101065687577943,0.0015287852408934614,EC-Earth3:p1:2051:2100:SSP126,245.56712770719892
