,model,p,scenario,startyr,endyr,Tavg,dSdt
173,HadGEM3-GC31-LL,1,SSP245,2016,2050,1.2451797015588113,0.0024734411169500914
174,HadGEM3-GC31-LL,1,SSP245,2051,2100,2.6542920509074293,0.003092781013371993
175,HadGEM3-GC31-LL,1,SSP585,2016,2050,1.4043543788965422,0.0029056237133986812
176,HadGEM3-GC31-LL,1,SSP585,2051,2100,4.26656513127179,0.005488098123852087
177,HadGEM3-GC31-LL,1,historical,1850,1900,-0.6318843489849655,9.307805448770523e-06
178,HadGEM3-GC31-LL,1,historical,1900,1950,-0.6431345789723764,0.00014524434879422185
179,HadGEM3-GC31-LL,1,historical,1950,2000,-0.5961649113112457,0.0002096974495798349
180,HadGEM3-GC31-LL,1,historical,1992,2014,-0.08317972920219745,0.0014607036316936666
181,HadGEM3-GC31-MM,1,SSP126,2016,2050,1.0293956683322563,0.0022868687177405637
182,HadGEM3-GC31-MM,1,SSP126,2051,2100,1.9696734328119305,0.002191444592816489
183,HadGEM3-GC31-MM,1,SSP585,2016,2050,1.2446607632468272,0.0029051488484529886
184,HadGEM3-GC31-MM,1,SSP585,2051,2100,4.182192728350586,0.0056062997603903006
185,HadGEM3-GC31-MM,1,historical,1850,1900,-0.6811560626584168,0.0001684282533824444
186,HadGEM3-GC31-MM,1,historical,1900,1950,-0.5900265585797229,0.00022401799913495779
187,HadGEM3-GC31-MM,1,historical,1950,2000,-0.5350548488485174,0.00021913518663495778
188,HadGEM3-GC31-MM,1,historical,1992,2014,-0.06820140433281097,0.0013635351153259926
189,INM-CM4-8,1,SSP126,2016,2050,0.46553397021369847,0.0013091833714176627
190,INM-CM4-8,1,SSP126,2051,2100,0.671358882154891,0.0006756290641366219
191,INM-CM4-8,1,SSP245,2016,2050,0.5813349359816584,0.0014527956133379655
192,INM-CM4-8,1,SSP245,2051,2100,1.2632771756069587,0.001334144296694775
193,INM-CM4-8,1,SSP585,2016,2050,0.7422410517559115,0.0017771196058567833
194,INM-CM4-8,1,SSP585,2051,2100,2.3473149816757655,0.0026304150114254076
195,INM-CM4-8,1,historical,1850,1900,-0.8513765566731877,0.0002769914269447327
196,INM-CM4-8,1,historical,1900,1950,-0.6667758534034647,0.00043518371880054476
197,INM-CM4-8,1,historical,1950,2000,-0.43757098818610984,0.00045919086784124375
198,INM-CM4-8,1,historical,1992,2014,-0.06810939519056092,0.0009214304048906673
199,INM-CM5-0,1,SSP126,2016,2050,0.6063109994018419,0.0013339669608017977
200,INM-CM5-0,1,SSP126,2051,2100,0.726943907834027,0.0007472577295741256
201,INM-CM5-0,1,SSP245,2016,2050,0.6037526103974642,0.0014488567762515124
202,INM-CM5-0,1,SSP245,2051,2100,1.2496407245117211,0.0016357968656384215
203,INM-CM5-0,1,SSP585,2016,2050,0.7800737695783369,0.0018689222633838654
204,INM-CM5-0,1,SSP585,2051,2100,2.27786686938299,0.002779271529645336
205,INM-CM5-0,1,historical,1850,1900,-0.7913651168544789,0.00019149862229824065
206,INM-CM5-0,1,historical,1900,1950,-0.5454846115839587,0.00032219555228948596
207,INM-CM5-0,1,historical,1950,2000,-0.41955617064013495,0.0004084586352109909
208,INM-CM5-0,1,historical,1992,2014,-0.06694860952330828,0.0009951729496771638
209,IPSL-CM5A2-INCA,1,SSP126,2016,2050,0.8259282793317198,0.0017794063862632303
210,IPSL-CM5A2-INCA,1,SSP126,2051,2100,2.621308644612668,0.0029516770523421616
211,IPSL-CM5A2-INCA,1,historical,1850,1900,-1.3026430666056967,-0.00039263218641281126
212,IPSL-CM5A2-INCA,1,historical,1900,1950,-1.1172064438364373,-4.140395671129227e-05
213,IPSL-CM5A2-INCA,1,historical,1950,2000,-0.6416595010196033,0.0002894066274166107
214,IPSL-CM5A2-INCA,1,historical,1992,2014,-0.06510855633280244,0.0009777352891185067
215,IPSL-CM6A-LR,1,SSP126,2016,2050,0.7787565927656791,0.001721293208938019
216,IPSL-CM6A-LR,1,SSP126,2051,2100,1.251017913818373,0.0011778101578456205
217,IPSL-CM6A-LR,1,SSP245,2016,2050,0.8807757423037211,0.0019311264303385044
218,IPSL-CM6A-LR,1,SSP245,2051,2100,2.1438501654730544,0.0022799029034011216
219,IPSL-CM6A-LR,1,SSP585,2016,2050,0.9693976023840492,0.0022077793438060613
220,IPSL-CM6A-LR,1,SSP585,2051,2100,3.671343722873246,0.004316207705711832
221,IPSL-CM6A-LR,1,historical,1850,1900,-1.0814230728426537,-5.9706887437237635e-05
222,IPSL-CM6A-LR,1,historical,1900,1950,-0.8730353530629031,0.0001515807749496566
223,IPSL-CM6A-LR,1,historical,1950,2000,-0.5289274142285509,0.0003282662770814366
224,IPSL-CM6A-LR,1,historical,1992,2014,-0.05810799775299655,0.0011595075460846978
225,IPSL-CM6A-LR-INCA,1,historical,1850,1900,-1.0730884402405536,-3.4909620881080626e-05
226,IPSL-CM6A-LR-INCA,1,historical,1900,1950,-1.0923224430458163,0.00025587398558855055
227,IPSL-CM6A-LR-INCA,1,historical,1950,2000,-0.5980520684734074,0.0003612612560391426
228,IPSL-CM6A-LR-INCA,1,historical,1992,2014,-0.05804307909977524,0.0009324763986197385
229,MCM-UA-1-0,1,historical,1850,1900,-1.1051931465477196,-0.0011852966248989106
230,MCM-UA-1-0,1,historical,1900,1950,-0.9003278326195527,-0.00035056278109550475
231,MCM-UA-1-0,1,historical,1950,2000,-0.5232340262217008,0.00016742225736379623
232,MCM-UA-1-0,1,historical,1992,2014,-0.06619772817009562,0.0011174622076478872
233,MIROC6,1,SSP126,2016,2050,0.5533322063387421,0.001852161890151454
234,MIROC6,1,SSP126,2051,2100,0.8457049046690107,0.0015174275150104447
235,MIROC6,1,SSP245,2016,2050,0.5802405062116615,0.0019039226075013478
236,MIROC6,1,SSP245,2051,2100,1.355938636522448,0.002459951302632183
237,MIROC6,1,SSP585,2016,2050,0.6738777105920235,0.0022904264430205026
238,MIROC6,1,SSP585,2051,2100,2.418833687715941,0.0042487644419378166
239,MIROC6,1,historical,1850,1900,-0.5902903823159704,8.493795990943909e-05
240,MIROC6,1,historical,1900,1950,-0.5017175406123329,0.0002150949463248253
241,MIROC6,1,historical,1950,2000,-0.3708798446430137,0.00037647508084774015
242,MIROC6,1,historical,1992,2014,-0.03575023203296723,0.000866444358094172
243,MPI-ESM-1-2-HAM,1,historical,1850,1900,-0.4541252074652675,0.00016021743416786194
244,MPI-ESM-1-2-HAM,1,historical,1900,1950,-0.4107237944448343,0.00029338061809539793
245,MPI-ESM-1-2-HAM,1,historical,1950,2000,-0.41188175353454426,0.00032878100872039793
246,MPI-ESM-1-2-HAM,1,historical,1992,2014,-0.04053023604308237,0.0012716816060922363
247,MPI-ESM1-2-HR,1,SSP126,2016,2050,0.48773874253660665,0.001339864424046348
248,MPI-ESM1-2-HR,1,SSP126,2051,2100,0.6843871888242461,0.0009805714825586397
249,MPI-ESM1-2-HR,1,SSP245,2016,2050,0.607796501402504,0.001709366326822954
